pb_1,pb_2,pb_3,v_1,v_2,v_3
0.3602,-0.0057362,0.48492,-3.005,0.088338,-3.1422
0.3572,-0.0056474,0.48178,-2.9934,0.089246,-3.1393
0.35421,-0.0055575,0.47864,-2.9813,0.090618,-3.136
0.35124,-0.0054659,0.4755,-2.9688,0.092448,-3.1323
0.34827,-0.0053724,0.47237,-2.956,0.094702,-3.1279
0.34532,-0.0052764,0.46925,-2.9431,0.097326,-3.1229
0.34239,-0.0051776,0.46613,-2.9302,0.10025,-3.1171
0.33946,-0.0050757,0.46301,-2.9172,0.10338,-3.1105
0.33655,-0.0049707,0.45991,-2.9044,0.10663,-3.103
0.33366,-0.0048625,0.45681,-2.8916,0.10989,-3.0947
0.33077,-0.004751,0.45372,-2.8789,0.11305,-3.0855
0.3279,-0.0046365,0.45064,-2.8663,0.11603,-3.0755
0.32504,-0.0045191,0.44757,-2.8537,0.11874,-3.0647
0.32219,-0.0043992,0.44451,-2.8411,0.1211,-3.0532
0.31936,-0.0042771,0.44146,-2.8284,0.12307,-3.041
0.31653,-0.0041532,0.43843,-2.8154,0.12461,-3.0282
0.31372,-0.0040281,0.43541,-2.802,0.12571,-3.015
0.31093,-0.003902,0.4324,-2.7883,0.12638,-3.0014
0.30815,-0.0037755,0.4294,-2.7739,0.12665,-2.9875
0.30538,-0.0036489,0.42642,-2.759,0.12658,-2.9733
0.30263,-0.0035225,0.42346,-2.7433,0.12624,-2.959
